District,County
Alcona Community Schools,Alcona
Autrain-Onota Public Schools,Alger
Burt Township School District,Alger
Munising Public Schools,Alger
Superior Central School District,Alger
Allegan Area Educational Service Agency,Allegan
Allegan Public Schools,Allegan
Fennville Public Schools,Allegan
Glenn Public School District,Allegan
Hamilton Community Schools,Allegan
Hopkins Public Schools,Allegan
Martin Public Schools,Allegan
Otsego Public Schools,Allegan
Outlook Academy,Allegan
Plainwell Community Schools,Allegan
Saugatuck Public Schools,Allegan
Wayland Union Schools,Allegan
Alpena Public Schools,Alpena
Alpena-Montmorency-Alcona Esd,Alpena
Bingham Arts Academy,Alpena
Alba Public Schools,Antrim
Bellaire Public Schools,Antrim
Central Lake Public Schools,Antrim
Elk Rapids Schools,Antrim
Ellsworth Community School,Antrim
Mancelona Public Schools,Antrim
Arenac Eastern School District,Arenac
Au Gres-Sims School District,Arenac
Standish-Sterling Community Schools,Arenac
Arvon Township School District,Baraga
Baraga Area Schools,Baraga
L'anse Area Schools,Baraga
Barry Independent School District,Barry
Delton Kellogg Schools,Barry
Hastings Area School District,Barry
Lakewood Public Schools,Barry
Thornapple Kellogg School District,Barry
Bangor Township Schools,Bay
Bay City Academy,Bay
Bay City School District,Bay
Bay County Psa,Bay
Bay-Arenac Community High School,Bay
Bay-Arenac Independent School District,Bay
Essexville-Hampton Public Schools,Bay
Pinconning Area Schools,Bay
Benzie County Central Schools,Benzie
Frankfort-Elberta Area Schools,Benzie
Benton Harbor Area Schools,Berrien
Benton Harbor Charter School Academy,Berrien
Berrien Regional Educational Service Agency,Berrien
Berrien Springs Public Schools,Berrien
Brandywine Community Schools,Berrien
Bridgman Public Schools,Berrien
Buchanan Community Schools,Berrien
Coloma Community Schools,Berrien
Countryside Academy,Berrien
Dream Academy,Berrien
Eau Claire Public Schools,Berrien
Hagar Township School District #6,Berrien
Lakeshore School District (Berrien),Berrien
Mildred C. Wells Preparatory Academy,Berrien
New Buffalo Area Schools,Berrien
Niles Community Schools,Berrien
River Valley School District,Berrien
Sodus Township School District #5,Berrien
St. Joseph Public Schools,Berrien
Watervliet School District,Berrien
Branch Independent School District,Branch
Bronson Community School District,Branch
Coldwater Community Schools,Branch
Pansophia Academy,Branch
Quincy Community Schools,Branch
Union City Community Schools,Branch
Arbor Academy,Calhoun
Athens Area Schools,Calhoun
Battle Creek Area Learning Center,Calhoun
Battle Creek Montessori Academy,Calhoun
Battle Creek Public Schools,Calhoun
Calhoun Independent School District,Calhoun
Endeavor Charter Academy,Calhoun
Harper Creek Community Schools,Calhoun
Homer Community School District,Calhoun
Lakeview Sch. District (Calhoun),Calhoun
Mar Lee School District,Calhoun
Marshall Academy,Calhoun
Marshall Public Schools,Calhoun
Pennfield Schools,Calhoun
Tekonsha Community Schools,Calhoun
Cassopolis Public Schools,Cass
Dowagiac Union School District,Cass
Edwardsburg Public Schools,Cass
Lewis Cass Independent School District,Cass
Marcellus Community Schools,Cass
Beaver Island Community School,Charlevoix
Boyne City Public Schools,Charlevoix
Boyne Falls Public School District,Charlevoix
Charlevoix Public Schools,Charlevoix
Charlevoix-Emmet Independent School District,Charlevoix
Concord Academy - Boyne,Charlevoix
East Jordan Public Schools,Charlevoix
Northwest Academy,Charlevoix
Cheb-Otsego-Presque Isle Esd,Cheboygan
Cheboygan Area Schools,Cheboygan
Inland Lakes Schools,Cheboygan
Wolverine Community School District,Cheboygan
Brimley Area Schools,Chippewa
Detour Area Schools,Chippewa
Detour Arts And Technology Academy,Chippewa
Eastern Upper Peninsula Independent School District,Chippewa
Joseph K. Lumsden Bahweting Anishnabe Academy,Chippewa
Ojibwe Charter School,Chippewa
Pickford Public Schools,Chippewa
Rudyard Area Schools,Chippewa
Sault Ste. Marie Area Schools,Chippewa
Whitefish Township Schools,Chippewa
Clare Public Schools,Clare
Clare-Gladwin Regional Education Service District,Clare
Farwell Area Schools,Clare
Harrison Community Schools,Clare
Bath Community Schools,Clinton
Clinton County Regional Educational Service Agency,Clinton
Dewitt Public Schools,Clinton
Fowler Public Schools,Clinton
Ovid-Elsie Area Schools,Clinton
St. Johns Public Schools,Clinton
Crawford Ausable Schools,Crawford
Big Bay De Noc School District,Delta
Delta-Schoolcraft Independent School District,Delta
Escanaba Area Public Schools,Delta
Gladstone Area Schools,Delta
Mid Peninsula School District,Delta
Rapid River Public Schools,Delta
Breitung Township School District,Dickinson
Dickinson-Iron Independent School District,Dickinson
Iron Mountain Public Schools,Dickinson
North Dickinson County Schools,Dickinson
Norway-Vulcan Area Schools,Dickinson
Bellevue Community Schools,Eaton
Charlotte Public Schools,Eaton
Eaton Rapids Public Schools,Eaton
Eaton Regional Educational Service Agency,Eaton
Grand Ledge Public Schools,Eaton
Island City Academy,Eaton
Maple Valley Schools,Eaton
Olivet Community Schools,Eaton
Oneida Township School District #3,Eaton
Potterville Public Schools,Eaton
Relevant Academy Of Eaton County,Eaton
Waverly Community Schools,Eaton
Alanson Public Schools,Emmet
Concord Academy - Petoskey,Emmet
Harbor Springs School District,Emmet
Mackinaw City Public Schools,Emmet
Pellston Public Schools,Emmet
Public Schools Of Petoskey,Emmet
Atherton Community Schools,Genesee
Beecher Community School District,Genesee
Bendle Public Schools,Genesee
Bentley Community School District,Genesee
Burton Glen Charter Academy,Genesee
Carman-Ainsworth Community Schools,Genesee
Clio Area School District,Genesee
Davison Community Schools,Genesee
Fenton Area Public Schools,Genesee
"Flint, School District Of The City Of",Genesee
Flushing Community Schools,Genesee
Genesee Independent School District,Genesee
Genesee School District,Genesee
Genesee Stem Academy,Genesee
Goodrich Area Schools,Genesee
Grand Blanc Academy,Genesee
Grand Blanc Community Schools,Genesee
Greater Heights Academy,Genesee
International Academy Of Flint,Genesee
Kearsley Community School District,Genesee
Lake Fenton Community Schools,Genesee
Lakeville Community School District,Genesee
Linden Charter Academy,Genesee
Linden Community Schools,Genesee
Madison Academy,Genesee
Michigan School For The Deaf,Genesee
Montrose Community Schools,Genesee
Mt. Morris Consolidated Schools,Genesee
Northridge Academy,Genesee
Richfield Public School Academy,Genesee
Swartz Creek Community Schools,Genesee
The New Standard Academy,Genesee
Way Academy - Flint,Genesee
Westwood Heights Schools,Genesee
Woodland Park Academy,Genesee
Beaverton Rural Schools,Gladwin
Gladwin Community Schools,Gladwin
Bessemer Area School District,Gogebic
Ironwood Area Schools Of Gogebic County,Gogebic
Wakefield-Marenisco School District,Gogebic
Watersmeet Township School District,Gogebic
Grand Traverse Academy,Grand Traverse
Kingsley Area Schools,Grand Traverse
The Greenspire School,Grand Traverse
Traverse Bay Area Independent School District,Grand Traverse
Traverse City Area Public Schools,Grand Traverse
Woodland School,Grand Traverse
Alma Public Schools,Gratiot
Ashley Community Schools,Gratiot
Breckenridge Community Schools,Gratiot
Fulton Schools,Gratiot
Gratiot-Isabella Resd,Gratiot
Ithaca Public Schools,Gratiot
St. Louis Public Schools,Gratiot
Camden-Frontier School,Hillsdale
Hillsdale Community Schools,Hillsdale
Hillsdale Independent School District,Hillsdale
Hillsdale Preparatory School,Hillsdale
Jonesville Community Schools,Hillsdale
Litchfield Community Schools,Hillsdale
North Adams-Jerome Public Schools,Hillsdale
Pittsford Area Schools,Hillsdale
Reading Community Schools,Hillsdale
Waldron Area Schools,Hillsdale
Will Carleton Charter School Academy,Hillsdale
Adams Township School District,Houghton
Chassell Township School District,Houghton
Copper Country Independent School District,Houghton
Dollar Bay-Tamarack City Area Schools,Houghton
Elm River Township School District,Houghton
Hancock Public Schools,Houghton
Houghton-Portage Township School District,Houghton
Lake Linden-Hubbell School District,Houghton
"Public Schools Of Calumet, Laurium & Keweenaw",Houghton
Stanton Township Public Schools,Houghton
Bad Axe Public Schools,Huron
Caseville Public Schools,Huron
Church School District,Huron
Colfax Township School District #1f,Huron
Elkton-Pigeon-Bay Port Laker Schools,Huron
Harbor Beach Community Schools,Huron
Huron Independent School District,Huron
North Huron School District,Huron
Owendale-Gagetown Area School District,Huron
Port Hope Community Schools,Huron
Sigel Township School District #3f,Huron
Sigel Township School District #4f,Huron
Sigel Township School District #6,Huron
Ubly Community Schools,Huron
Unionville-Sebewaing Area S.D.,Huron
Verona Township School District #1f,Huron
Cole Academy,Ingham
Dansville Schools,Ingham
East Lansing School District,Ingham
El-Hajj Malik El-Shabazz Academy,Ingham
Great Lakes Cyber Academy,Ingham
Haslett Public Schools,Ingham
Holt Public Schools,Ingham
Ingham Independent School District,Ingham
Lansing Charter Academy,Ingham
Lansing Public School District,Ingham
Leslie Public Schools,Ingham
Life Technical Academy,Ingham
Mason Public Schools (Ingham),Ingham
Michigan Connections Academy,Ingham
Michigan Department Of Corrections,Ingham
Michigan Department Of Human Services,Ingham
Mid-Michigan Leadership Academy,Ingham
Nexus Academy Of Lansing,Ingham
Okemos Public Schools,Ingham
Stockbridge Community Schools,Ingham
Webberville Community Schools,Ingham
White Pine Academy,Ingham
Williamston Community Schools,Ingham
Windemere Park Charter Academy,Ingham
Belding Area School District,Ionia
Berlin Township School District #3,Ionia
Easton Township School District #6,Ionia
Ionia Independent School District,Ionia
Ionia Public Schools,Ionia
Ionia Township School District #2,Ionia
Pewamo-Westphalia Community Schools,Ionia
Portland Public Schools,Ionia
Saranac Community Schools,Ionia
Alternative Educational Academy Of Iosco County,Iosco
Hale Area Schools,Iosco
Iosco Regional Educational Service Agency,Iosco
Oscoda Area Schools,Iosco
Tawas Area Schools,Iosco
Whittemore-Prescott Area Schools,Iosco
Forest Park School District,Iron
West Iron County Public Schools,Iron
Beal City Public Schools,Isabella
Morey Montessori Public School Academy,Isabella
Mt. Pleasant City School District,Isabella
Renaissance Public School Academy,Isabella
Shepherd Public Schools,Isabella
Columbia School District,Jackson
Concord Community Schools,Jackson
Da Vinci Institute,Jackson
East Jackson Community Schools,Jackson
Grass Lake Community Schools,Jackson
Hanover-Horton School District,Jackson
Jackson Independent School District,Jackson
Jackson Public Schools,Jackson
Michigan Center School District,Jackson
Napoleon Community Schools,Jackson
Northwest Community Schools,Jackson
Paragon Charter Academy,Jackson
Springport Public Schools,Jackson
Vandercook Lake Public Schools,Jackson
Western School District,Jackson
Climax-Scotts Community Schools,Kalamazoo
Comstock Public Schools,Kalamazoo
Evergreen Academy,Kalamazoo
Forest Academy,Kalamazoo
Galesburg-Augusta Community Schools,Kalamazoo
Gull Lake Community Schools,Kalamazoo
Kalamazoo Public Schools,Kalamazoo
Kalamazoo Regional Educational Service Agency,Kalamazoo
Lakeside Charter School,Kalamazoo
Oakland Academy,Kalamazoo
Paramount Charter Academy,Kalamazoo
Parchment School District,Kalamazoo
Portage Public Schools,Kalamazoo
Schoolcraft Community Schools,Kalamazoo
Vicksburg Community Schools,Kalamazoo
Youth Advancement Academy,Kalamazoo
Excelsior Township School District #1,Kalkaska
Forest Area Community Schools,Kalkaska
Kalkaska Public Schools,Kalkaska
Byron Center Charter School,Kent
Byron Center Public Schools,Kent
Caledonia Community Schools,Kent
Cedar Springs Public Schools,Kent
Chandler Woods Charter Academy,Kent
Comstock Park Public Schools,Kent
Covenant House Academy Grand Rapids,Kent
Creative Technologies Academy,Kent
Cross Creek Charter Academy,Kent
East Grand Rapids Public Schools,Kent
Excel Charter Academy,Kent
Forest Hills Public Schools,Kent
Godfrey-Lee Public Schools,Kent
Godwin Heights Public Schools,Kent
Grand Rapids Child Discovery Center,Kent
Grand Rapids Ellington Academy Of Arts & Technology,Kent
Grand Rapids Public Schools,Kent
Grandville Public Schools,Kent
Grattan Academy,Kent
Hope Academy Of West Michigan,Kent
Kelloggsville Public Schools,Kent
Kenowa Hills Public Schools,Kent
Kent City Community Schools,Kent
Kentwood Public Schools,Kent
Knapp Charter Academy,Kent
Lighthouse Academy,Kent
Lowell Area Schools,Kent
Michigan Virtual Charter Academy,Kent
New Branches Charter Academy,Kent
Nexus Academy Of Grand Rapids,Kent
Northview Public Schools,Kent
Ridge Park Charter Academy,Kent
River City Scholars Charter Academy,Kent
Rockford Public Schools,Kent
Sparta Area Schools,Kent
Vanguard Charter Academy,Kent
Vista Charter Academy,Kent
Walker Charter Academy,Kent
Wellspring Preparatory High School,Kent
West Mi Academy Of Environmental Science,Kent
West Michigan Aviation Academy,Kent
William C. Abney Academy,Kent
Wyoming Public Schools,Kent
Grant Township School District #2,Keweenaw
Baldwin Community Schools,Lake
Mosaica Online Academy Of Michigan,Lake
Almont Community Schools,Lapeer
Chatfield School,Lapeer
Dryden Community Schools,Lapeer
Imlay City Community Schools,Lapeer
Lapeer Community Schools,Lapeer
Lapeer Independent School District,Lapeer
North Branch Area Schools,Lapeer
Glen Lake Community Schools,Leelanau
Leelanau Montessori Public School Academy,Leelanau
Leland Public School District,Leelanau
Northport Public School District,Leelanau
Suttons Bay Public Schools,Leelanau
Addison Community Schools,Lenawee
"Adrian, School District Of The City Of",Lenawee
Blissfield Community Schools,Lenawee
Britton Deerfield Schools,Lenawee
Clinton Community Schools,Lenawee
Hudson Area Schools,Lenawee
Lenawee Independent School District,Lenawee
Madison School District (Lenawee),Lenawee
Morenci Area Schools,Lenawee
Onsted Community Schools,Lenawee
Sand Creek Community Schools,Lenawee
Tecumseh Public Schools,Lenawee
Brighton Area Schools,Livingston
Charyl Stockwell Academy,Livingston
Flextech High School,Livingston
Fowlerville Community Schools,Livingston
Hartland Consolidated Schools,Livingston
Howell Public Schools,Livingston
Kensington Woods High School,Livingston
Livingston Esa,Livingston
Pinckney Community Schools,Livingston
Tahquamenon Area Schools,Luce
Bois Blanc Pines School District,Mackinac
Engadine Consolidated Schools,Mackinac
Les Cheneaux Community Schools,Mackinac
Mackinac Island Public Schools,Mackinac
Moran Township School District,Mackinac
St. Ignace Area Schools,Mackinac
Three Lakes Academy,Mackinac
Academy Of Warren,Macomb
Armada Area Schools,Macomb
Arts Academy In The Woods,Macomb
Center Line Public Schools,Macomb
Chippewa Valley Schools,Macomb
Clintondale Community Schools,Macomb
Conner Creek Academy East,Macomb
East Detroit Public Schools,Macomb
Eaton Academy,Macomb
Fitzgerald Public Schools,Macomb
Fraser Public Schools,Macomb
Global Preparatory Academy,Macomb
Great Oaks Academy,Macomb
Huron Academy,Macomb
L'anse Creuse Public Schools,Macomb
Lake Shore Public Schools (Macomb),Macomb
Lakeview Public Schools (Macomb),Macomb
Macomb Academy,Macomb
Macomb Independent School District,Macomb
Macomb Montessori Academy,Macomb
Merritt Academy,Macomb
Michigan Mathematics And Science Academy,Macomb
Mount Clemens Community School District,Macomb
Mt. Clemens Montessori Academy,Macomb
New Haven Community Schools,Macomb
Noor International Academy,Macomb
Prevail Academy,Macomb
Reach Charter Academy,Macomb
Richmond Community Schools,Macomb
Rising Stars Academy,Macomb
Romeo Community Schools,Macomb
Roseville Community Schools,Macomb
South Lake Schools,Macomb
Success Mile Academy,Macomb
Utica Community Schools,Macomb
Van Dyke Public Schools,Macomb
Warren Consolidated Schools,Macomb
Warren Woods Public Schools,Macomb
