District,County
Bear Lake Schools,Manistee
Casman Alternative Academy,Manistee
Kaleva Norman Dickson School District,Manistee
Manistee Area Public Schools,Manistee
Manistee Independent School District,Manistee
Michigan Great Lakes Virtual Academy,Manistee
Onekama Consolidated Schools,Manistee
Gwinn Area Community Schools,Marquette
Ishpeming Public School District No. 1,Marquette
Marquette Area Public Schools,Marquette
Marquette-Alger Regional Educational Service Agency,Marquette
Negaunee Public Schools,Marquette
Nice Community School District,Marquette
North Star Academy,Marquette
Powell Township Schools,Marquette
Republic-Michigamme Schools,Marquette
Wells Township School District,Marquette
Ludington Area School District,Mason
Mason County Central Schools,Mason
Mason County Eastern Schools,Mason
West Shore Educational Service District,Mason
Big Rapids Public Schools,Mecosta
Chippewa Hills School District,Mecosta
Crossroads Charter Academy,Mecosta
Mecosta-Osceola Independent School District,Mecosta
Morley Stanwood Community Schools,Mecosta
Bark River-Harris School District,Menominee
Carney-Nadeau Public Schools,Menominee
Menominee Area Public Schools,Menominee
Menominee Independent School District,Menominee
Nah Tah Wahsh Public School Academy,Menominee
North Central Area Schools,Menominee
Stephenson Area Public Schools,Menominee
Academic And Career Education Academy,Midland
Bullock Creek School District,Midland
Coleman Community Schools,Midland
Meridian Public Schools,Midland
Midland Academy Of Advanced And Creative Studies,Midland
Midland County Educational Service Agency,Midland
Midland Public Schools,Midland
Windover High School,Midland
Lake City Area School District,Missaukee
Mcbain Rural Agricultural Schools,Missaukee
Airport Community Schools,Monroe
Bedford Public Schools,Monroe
Dundee Community Schools,Monroe
Ida Public School District,Monroe
Jefferson Schools (Monroe),Monroe
Mason Consolidated Schools (Monroe),Monroe
Monroe Independent School District,Monroe
Monroe Public Schools,Monroe
New Bedford Academy,Monroe
Summerfield Schools,Monroe
Triumph Academy,Monroe
Whiteford Agricultural School District Of The Counties Of Lenawee And Monroe,Monroe
Carson City-Crystal Area Schools,Montcalm
Central Montcalm Public Schools,Montcalm
Greenville Public Schools,Montcalm
Lakeview Community Schools (Montcalm),Montcalm
Montabella Community Schools,Montcalm
Montcalm Area Independent School District,Montcalm
Tri County Area Schools,Montcalm
Vestaburg Community Schools,Montcalm
Atlanta Community Schools,Montmorency
Hillman Community Schools,Montmorency
Fruitport Community Schools,Muskegon
Holton Public Schools,Muskegon
Mona Shores Public School District,Muskegon
Montague Area Public Schools,Muskegon
Muskegon Area Independent School District,Muskegon
Muskegon Heights Public School Academy System,Muskegon
Muskegon Montessori Academy For Environmental Change,Muskegon
"Muskegon, Public Schools Of The City Of",Muskegon
North Muskegon Public Schools,Muskegon
Oakridge Public Schools,Muskegon
Orchard View Schools,Muskegon
Ravenna Public Schools,Muskegon
Reeths-Puffer Schools,Muskegon
Three Oaks Public School Academy,Muskegon
Timberland Academy,Muskegon
Whitehall District Schools,Muskegon
Big Jackson School District,Newaygo
Fremont Public School District,Newaygo
Grant Public School District,Newaygo
Hesperia Community Schools,Newaygo
Newaygo County Regional Educational Service Agency,Newaygo
Newaygo Public School District,Newaygo
White Cloud Public Schools,Newaygo
Academy Of Southfield,Oakland
Academy Of Waterford,Oakland
Agbu Alex-Marie Manoogian School,Oakland
Arts And Technology Academy Of Pontiac,Oakland
Avondale School District,Oakland
Berkley School District,Oakland
Birmingham Public Schools,Oakland
Bloomfield Hills Schools,Oakland
Bradford Academy,Oakland
Brandon School District In The Counties Of Oakland And Lapeer,Oakland
Clarkston Community School District,Oakland
Clawson Public Schools,Oakland
Crescent Academy,Oakland
Dr. Joseph F. Pollack Academic Center Of Excellence,Oakland
Farmington Public School District,Oakland
Faxon Language Immersion Academy,Oakland
Ferndale Public Schools,Oakland
Four Corners Montessori Academy,Oakland
Great Lakes Academy,Oakland
"Hazel Park, School District Of The City Of",Oakland
Holly Academy,Oakland
Holly Area School District,Oakland
Huron Valley Schools,Oakland
Jefferson International Academy,Oakland
Kingsbury Country Day School,Oakland
Lake Orion Community Schools,Oakland
Lamphere Public Schools,Oakland
Laurus Academy,Oakland
Life Skills Center Of Pontiac,Oakland
Madison District Public Schools,Oakland
Michigan School For The Arts,Oakland
Momentum Academy,Oakland
Nexus Academy Of Royal Oak,Oakland
Novi Community School District,Oakland
"Oak Park, School District Of The City Of",Oakland
Oakland Flextech Academy,Oakland
Oakland Schools,Oakland
Oakside Scholars Charter Academy,Oakland
Oxford Community Schools,Oakland
Pontiac Academy For Excellence,Oakland
Pontiac City School District,Oakland
Rochester Community School District,Oakland
Royal Oak Schools,Oakland
Sarah J. Webber Media Arts Academy,Oakland
South Lyon Community Schools,Oakland
Southfield Public School District,Oakland
Taylor International Academy,Oakland
Troy School District,Oakland
Walled Lake Consolidated Schools,Oakland
Walton Charter Academy,Oakland
Waterford Montessori Academy,Oakland
Waterford School District,Oakland
West Bloomfield School District,Oakland
Hart Public School District,Oceana
Pentwater Public School District,Oceana
Shelby Public Schools,Oceana
Walkerville Public Schools,Oceana
West Branch-Rose City Area Schools,Ogemaw
Ewen-Trout Creek Consolidated School District,Ontonagon
Gogebic-Ontonagon Independent School District,Ontonagon
Ontonagon Area School District,Ontonagon
Evart Public Schools,Osceola
Marion Public Schools,Osceola
Pine River Area Schools,Osceola
Reed City Area Public Schools,Osceola
Fairview Area School District,Oscoda
Mio-Ausable Schools,Oscoda
Gaylord Community Schools,Otsego
Johannesburg-Lewiston Area Schools,Otsego
Vanderbilt Area Schools,Otsego
Allendale Public Schools,Ottawa
Black River Public School,Ottawa
Coopersville Area Public School District,Ottawa
Eagle Crest Charter Academy,Ottawa
Grand Haven Area Public Schools,Ottawa
Holland City School District,Ottawa
Hudsonville Public School District,Ottawa
Icademy Global,Ottawa
Innocademy,Ottawa
Jenison Public Schools,Ottawa
Ottawa Area Independent School District,Ottawa
Spring Lake Public Schools,Ottawa
Vanderbilt Charter Academy,Ottawa
Walden Green Montessori,Ottawa
West Mi Academy Of Arts And Academics,Ottawa
West Ottawa Public School District,Ottawa
Zeeland Public Schools,Ottawa
Onaway Area Community School District,Presque Isle
Posen Consolidated School District No. 9,Presque Isle
Presque Isle Academy Ii,Presque Isle
Rogers City Area Schools,Presque Isle
C.O.O.R. Independent School District,Roscommon
Charlton Heston Academy,Roscommon
Houghton Lake Community Schools,Roscommon
Roscommon Area Public Schools,Roscommon
Birch Run Area Schools,Saginaw
Bridgeport-Spaulding Community School District,Saginaw
Carrollton Public Schools,Saginaw
Chesaning Union Schools,Saginaw
Francis Reh Psa,Saginaw
Frankenmuth School District,Saginaw
Freeland Community School District,Saginaw
Hemlock Public School District,Saginaw
International Academy Of Saginaw,Saginaw
Merrill Community Schools,Saginaw
North Saginaw Charter Academy,Saginaw
Saginaw Independent School District,Saginaw
Saginaw Learn To Earn Academy,Saginaw
Saginaw Preparatory Academy,Saginaw
Saginaw Township Community Schools,Saginaw
"Saginaw, School District Of The City Of",Saginaw
St. Charles Community Schools,Saginaw
Swan Valley School District,Saginaw
Brown City Community Schools,Sanilac
Carsonville-Port Sanilac School District,Sanilac
Croswell-Lexington Community Schools,Sanilac
Deckerville Community School District,Sanilac
Marlette Community Schools,Sanilac
Peck Community School District,Sanilac
Sandusky Community School District,Sanilac
Sanilac Independent School District,Sanilac
Manistique Area Schools,Schoolcraft
Byron Area Schools,Shiawassee
Corunna Public Schools,Shiawassee
Durand Area Schools,Shiawassee
Laingsburg Community Schools,Shiawassee
Morrice Area Schools,Shiawassee
New Lothrop Area Public Schools,Shiawassee
Owosso Public Schools,Shiawassee
Perry Public Schools,Shiawassee
Shiawassee Regional Esd,Shiawassee
Algonac Community School District,St. Clair
Anchor Bay School District,St. Clair
Blue Water Learning Academy,St. Clair
Blue Water Middle College,St. Clair
Capac Community Schools,St. Clair
East China School District,St. Clair
Landmark Academy,St. Clair
Marysville Public Schools,St. Clair
Memphis Community Schools,St. Clair
Port Huron Area School District,St. Clair
St. Clair County Career Prep Academy,St. Clair
St. Clair County Learning Academy,St. Clair
St. Clair County Regional Educational Service Agency,St. Clair
Virtual Learning Academy Of St. Clair County,St. Clair
Yale Public Schools,St. Clair
Burr Oak Community School District,St. Joseph
Centreville Public Schools,St. Joseph
Colon Community School District,St. Joseph
Constantine Public School District,St. Joseph
Mendon Community School District,St. Joseph
Nottawa Community School,St. Joseph
St. Joseph County Independent School District,St. Joseph
Sturgis Public Schools,St. Joseph
Three Rivers Community Schools,St. Joseph
White Pigeon Community Schools,St. Joseph
Akron-Fairgrove Schools,Tuscola
Caro Community Schools,Tuscola
Cass City Public Schools,Tuscola
Kingston Community School District,Tuscola
Mayville Community School District,Tuscola
Millington Community Schools,Tuscola
Reese Public Schools,Tuscola
Tuscola Independent School District,Tuscola
Vassar Public Schools,Tuscola
Bangor Public Schools (Van Buren),Van Buren
Bangor Township School District #8,Van Buren
Bloomingdale Public School District,Van Buren
Covert Public Schools,Van Buren
Decatur Public Schools,Van Buren
Gobles Public School District,Van Buren
Hartford Public Schools,Van Buren
Lawrence Public Schools,Van Buren
Lawton Community School District,Van Buren
Mattawan Consolidated School,Van Buren
Paw Paw Public School District,Van Buren
South Haven Public Schools,Van Buren
Van Buren Independent School District,Van Buren
Ann Arbor Learning Community,Washtenaw
Ann Arbor Public Schools,Washtenaw
Arbor Preparatory High School,Washtenaw
Central Academy,Washtenaw
Chelsea School District,Washtenaw
Dexter Community School District,Washtenaw
East Arbor Charter Academy,Washtenaw
Fortis Academy,Washtenaw
Global Technical Academy,Washtenaw
Honey Creek Community School,Washtenaw
Lincoln Consolidated School District,Washtenaw
Manchester Community Schools,Washtenaw
Milan Area Schools,Washtenaw
Multicultural Academy,Washtenaw
New Beginnings Academy,Washtenaw
Saline Area Schools,Washtenaw
South Arbor Charter Academy,Washtenaw
South Pointe Scholars Charter Academy,Washtenaw
Washtenaw Independent School District,Washtenaw
Washtenaw Technical Middle College,Washtenaw
Whitmore Lake Public School District,Washtenaw
Wsc Academy,Washtenaw
Ypsilanti Community Schools,Washtenaw
Academy For Business And Technology,Wayne
Academy Of International Studies,Wayne
Ace Academy (Sda),Wayne
Achieve Charter Academy,Wayne
Advanced Technology Academy,Wayne
Allen Academy,Wayne
Allen Park Public Schools,Wayne
American International Academy,Wayne
American Montessori Academy,Wayne
Blanche Kelso Bruce Academy,Wayne
Branch Line School,Wayne
Bridge Academy,Wayne
Caniff Liberty Academy,Wayne
Canton Charter Academy,Wayne
Capstone Academy Charter School (Sda),Wayne
Cesar Chavez Academy,Wayne
Chandler Park Academy,Wayne
Clara B. Ford Academy (Sda),Wayne
Clarenceville School District,Wayne
Commonwealth Community Development Academy,Wayne
Cornerstone Health School,Wayne
Covenant House Academy Detroit,Wayne
Creative Montessori Academy,Wayne
Crestwood School District,Wayne
David Ellis Academy,Wayne
David Ellis Academy West,Wayne
Dearborn City School District,Wayne
Dearborn Heights School District #7,Wayne
Detroit Academy Of Arts And Sciences,Wayne
Detroit Achievement Academy,Wayne
Detroit Community Schools,Wayne
Detroit Edison Public School Academy,Wayne
Detroit Enterprise Academy,Wayne
Detroit Innovation Academy,Wayne
Detroit Leadership Academy,Wayne
Detroit Merit Charter Academy,Wayne
Detroit Premier Academy,Wayne
Detroit Public Safety Academy,Wayne
Detroit Public Schools,Wayne
Detroit Service Learning Academy,Wayne
Dove Academy Of Detroit,Wayne
Ecorse Public Schools,Wayne
Education Achievement Authority Of Michigan,Wayne
Escuela Avancemos,Wayne
Experiencia Preparatory Academy,Wayne
Flagship Charter Academy,Wayne
Flat Rock Community Schools,Wayne
Frontier International Academy,Wayne
Garden City Public Schools,Wayne
Gaudior Academy,Wayne
Gee Edmonson Academy,Wayne
Gee White Academy,Wayne
George Crockett Academy,Wayne
George Washington Carver Academy,Wayne
Gibraltar School District,Wayne
Global Heights Academy,Wayne
Grosse Ile Township Schools,Wayne
Grosse Pointe Public Schools,Wayne
Hamilton Academy,Wayne
Hamtramck Academy,Wayne
"Hamtramck, School District Of The City Of",Wayne
Hanley International Academy,Wayne
"Harper Woods, The School District Of The City Of",Wayne
Henry Ford Academy,Wayne
Henry Ford Academy: School For Creative Studies (Psad),Wayne
Highland Park City Schools,Wayne
Highland Park Public School Academy System,Wayne
Hope Academy,Wayne
Hope Of Detroit Academy,Wayne
Huron School District,Wayne
International Preparatory Academy - Macdowell Campus,Wayne
Jalen Rose Leadership Academy,Wayne
Joy Preparatory Academy,Wayne
Keystone Academy,Wayne
Legacy Charter Academy,Wayne
"Lincoln Park, School District Of The City Of",Wayne
Livonia Public Schools School District,Wayne
Madison-Carver Academy,Wayne
"Martin Luther King, Jr. Education Center Academy",Wayne
Marvin L. Winans Academy Of Performing Arts,Wayne
Melvindale-North Allen Park Schools,Wayne
Metro Charter Academy,Wayne
Michigan Educational Choice Center,Wayne
Michigan Technical Academy,Wayne
Nataki Talibah Schoolhouse Of Detroit,Wayne
New Paradigm Glazer Academy,Wayne
New Paradigm Loving Academy,Wayne
Northville Public Schools,Wayne
Oakland International Academy,Wayne
Old Redford Academy,Wayne
Plymouth Educational Center Charter School,Wayne
Plymouth Scholars Charter Academy,Wayne
Plymouth-Canton Community Schools,Wayne
Quest Charter Academy,Wayne
"Redford Union Schools, District No. 1",Wayne
Regent Park Scholars Charter Academy,Wayne
"River Rouge, School District Of The City Of",Wayne
Riverside Academy,Wayne
Riverview Community School District,Wayne
Romulus Community Schools,Wayne
Ross-Hill Academy,Wayne
Rutherford Winans Academy,Wayne
South Canton Scholars Charter Academy,Wayne
South Redford School District,Wayne
Southgate Community School District,Wayne
Southwest Detroit Lighthouse Charter Academy,Wayne
Star International Academy,Wayne
Starr Detroit Academy,Wayne
Summit Academy,Wayne
Summit Academy North,Wayne
Taylor Exemplar Academy,Wayne
Taylor Preparatory High School,Wayne
Taylor School District,Wayne
The Dearborn Academy,Wayne
The James And Grace Lee Boggs School,Wayne
Timbuktu Academy Of Science And Technology,Wayne
Tipton Academy,Wayne
Trenton Public Schools,Wayne
Trillium Academy,Wayne
Universal Academy,Wayne
Universal Learning Academy,Wayne
University Preparatory Academy (Psad),Wayne
University Preparatory Science And Math (PSAD),Wayne
University Yes Academy,Wayne
Van Buren Public Schools,Wayne
Vista Meadows Academy,Wayne
Voyageur Academy,Wayne
W-A-Y Academy,Wayne
Warrendale Charter Academy,Wayne
Washington-Parks Academy,Wayne
Wayne-Westland Community School District,Wayne
West Village Academy,Wayne
Weston Preparatory Academy,Wayne
Westwood Community School District,Wayne
Wolverine Academy (Sda),Wayne
Woodhaven-Brownstown School District,Wayne
Woodward Academy,Wayne
"Wyandotte, School District Of The City Of",Wayne
Buckley Community Schools,Wexford
Cadillac Area Public Schools,Wexford
Manton Consolidated Schools,Wexford
Mesick Consolidated Schools,Wexford
Wexford-Missaukee Independent School District,Wexford
